Feature 1,Feature 2,Otolith type
6.2618175,-28.002247,Clupea harengus
20.502903,5.469218,Ammodytes tobianus
-8.164427,35.338345,Sprattus sprattus
-5.1095414,36.849495,Sprattus sprattus
-29.63889,-4.753449,Clupea harengus
29.026499,-3.6195936,Ammodytes tobianus
-18.310345,20.181555,Sprattus sprattus
24.283134,-7.0110846,Ammodytes tobianus
-28.686796,-21.832554,Clupea harengus
0.22816119,32.854046,Sprattus sprattus
-20.095064,-15.218482,Clupea harengus
36.884186,-27.493677,Hyperoplus lanceolatus
-1.8368355,-39.173965,Clupea harengus
-17.11562,41.622902,Sprattus sprattus
-18.532322,37.89025,Sprattus sprattus
-26.541597,-12.547091,Clupea harengus
23.814697,37.821625,Alosa fallax
4.1962843,-32.999447,Clupea harengus
51.630657,10.975774,Ammodytes marinus
6.6491795,-29.843094,Clupea harengus
12.678969,-5.3720818,Ammodytes tobianus
2.1925385,-26.606405,Clupea harengus
-10.742119,36.997528,Sprattus sprattus
-13.816001,-18.639631,Clupea harengus
-5.60209,19.548935,Sprattus sprattus
-25.10826,-23.668093,Clupea harengus
53.007572,16.542484,Ammodytes marinus
-20.382597,-23.110674,Clupea harengus
-23.767555,-10.626501,Clupea harengus
4.483777,-32.958588,Clupea harengus
-18.26415,32.884205,Sprattus sprattus
-5.006483,20.960514,Sprattus sprattus
-20.499153,-11.384424,Clupea harengus
-16.073215,17.861996,Sprattus sprattus
-8.121896,-8.795491,Clupea harengus
-18.9478,35.16268,Sprattus sprattus
16.983475,1.7189296,Ammodytes tobianus
6.3769207,-32.576534,Clupea harengus
2.8341887,-30.34987,Clupea harengus
-29.709518,-14.264207,Clupea harengus
-4.8321667,-14.520249,Sprattus sprattus
-13.509378,-16.796606,Clupea harengus
18.559471,7.6817923,Ammodytes tobianus
-24.469414,-12.702142,Clupea harengus
-12.000149,18.646902,Sprattus sprattus
-28.892426,-18.730371,Clupea harengus
-4.6442285,-38.191967,Clupea harengus
-0.42708853,-22.33049,Clupea harengus
44.37603,20.163513,Ammodytes marinus
-16.635492,-8.478405,Clupea harengus
-29.770014,-24.222101,Clupea harengus
-1.5524722,-34.512577,Clupea harengus
-11.902695,16.313646,Sprattus sprattus
49.00858,21.650696,Ammodytes marinus
-3.5141068,-27.108831,Clupea harengus
5.8582315,27.27689,Sprattus sprattus
16.350618,1.670059,Ammodytes tobianus
-3.020967,38.676678,Sprattus sprattus
-3.5511675,19.018751,Sprattus sprattus
52.960506,9.567345,Ammodytes marinus
-15.789643,20.300491,Sprattus sprattus
-21.835272,-19.362726,Clupea harengus
6.1754804,31.700687,Sprattus sprattus
-1.4859501,-35.835823,Clupea harengus
