1.0000,1.7116
2.0000,1.4656
3.0000,1.2093
4.0000,1.0439
5.0000,0.9048
6.0000,0.7803
7.0000,0.6992
8.0000,0.6613
9.0000,0.6299
10.0000,0.6356
11.0000,0.6003
12.0000,0.6005
13.0000,0.6059
14.0000,0.5864
15.0000,0.5684
16.0000,0.5412
17.0000,0.5249
18.0000,0.5364
19.0000,0.5015
20.0000,0.5122
21.0000,0.5149
22.0000,0.4969
23.0000,0.4990
24.0000,0.4959
25.0000,0.4838
26.0000,0.5011
27.0000,0.4646
28.0000,0.4953
29.0000,0.4888
30.0000,0.4906
31.0000,0.4631
32.0000,0.4613
33.0000,0.4524
34.0000,0.4493
35.0000,0.4621
36.0000,0.4681
37.0000,0.4742
38.0000,0.4652
39.0000,0.4607
40.0000,0.4610
41.0000,0.4583
42.0000,0.4572
43.0000,0.4511
44.0000,0.4365
45.0000,0.4590
46.0000,0.4516
47.0000,0.4371
48.0000,0.4295
49.0000,0.4367
50.0000,0.4370
51.0000,0.4276
52.0000,0.4333
53.0000,0.4316
54.0000,0.4315
55.0000,0.4433
56.0000,0.4324
57.0000,0.4327
