1.0000,0.7247
2.0000,0.8307
3.0000,0.9443
4.0000,0.9575
5.0000,0.9700
6.0000,0.9763
7.0000,0.9847
8.0000,0.9916
9.0000,0.9882
10.0000,0.9798
11.0000,0.9930
12.0000,0.9909
13.0000,0.9847
14.0000,0.9875
15.0000,0.9930
16.0000,0.9930
17.0000,0.9909
18.0000,0.9909
19.0000,0.9972
20.0000,0.9937
21.0000,0.9944
22.0000,0.9965
23.0000,0.9965
24.0000,0.9965
25.0000,0.9993
26.0000,0.9972
27.0000,0.9979
28.0000,0.9944
29.0000,0.9965
30.0000,0.9972
31.0000,0.9979
32.0000,0.9979
33.0000,0.9979
34.0000,0.9979
35.0000,0.9930
36.0000,0.9979
37.0000,0.9937
38.0000,0.9958
39.0000,0.9951
40.0000,0.9986
41.0000,0.9965
42.0000,0.9972
43.0000,0.9979
44.0000,1.0000
45.0000,0.9986
46.0000,0.9965
47.0000,0.9972
48.0000,0.9993
49.0000,1.0000
50.0000,0.9979
51.0000,0.9986
52.0000,0.9986
53.0000,0.9972
54.0000,0.9993
55.0000,0.9979
56.0000,0.9993
57.0000,0.9972
